case_id,jurisdiction,mode,stage,industry,ask_type,corpus_expectation,weak_corpus_stress,negative_edge,fixed_prompt,allowed_followup,tags
"penny-eval-013","YT","opportunity_backed","operating small","mining services","hiring","weak_pool","yes","no","We are a Whitehorse environmental consulting firm with 8 employees serving placer mining and road projects. We want to hire two junior field technicians and buy $60,000 of water-testing gear before the May field season. What verified non-loan funding fits this Yukon hiring and equipment plan?","","YT;mining-services;hiring;equipment;weak-corpus"
"penny-eval-014","federal","opportunity_backed","growth","r&d-heavy","research and development","strong_pool","no","no","We are a 45-person Canadian hardware startup split between Ottawa and Waterloo building secure edge devices for utilities. We will spend $1.8 million on experimental firmware, prototypes, and test equipment this year. Which verified federal non-loan programs or tax credits are strong fits, and where are the conditions?","","federal-heavy;R&D;hardware;famous-program-check"
"penny-eval-015","ON","aspiration_first","idea","retail","new location","strong_pool","no","no","I want to open a specialty running store in London, Ontario that also offers gait analysis and community training clinics. I have retail management experience, no company yet, and about $60,000 to invest. Are there verified non-loan programs that make this business shape more fundable, or should Penny say the grant pool is thin?","I do not plan to manufacture products; this would mainly be retail and services.","ON;retail;aspiration;thin-pool"
"penny-eval-016","QC","opportunity_backed","mid","manufacturing","stack ask","strong_pool","no","no","Our Quebec City manufacturer makes aluminum components for public transit suppliers and has 38 employees. We are choosing between a $700,000 CNC upgrade and hiring four production apprentices in 2026. What verified non-loan funding stack is possible if we do one or both, without inventing stacking percentages?","","QC;manufacturing;stack;capex;hiring;lever"
"penny-eval-017","BC","opportunity_backed","operating small","healthcare","hiring","weak_pool","yes","no","We are a Vancouver digital health clinic platform with 6 employees and paying customers in BC only. We need to hire a privacy engineer and a clinical implementation lead in the next six months. Find verified non-loan programs and be strict about whether healthcare software without wet-lab R&D really qualifies.","","BC;healthcare;saas;hiring;weak-corpus"
"penny-eval-018","AB","aspiration_first","planning","clean tech","business shape","strong_pool","no","no","I want to start a Calgary company that retrofits small commercial buildings with heat pumps and controls. I am a licensed electrician, have one potential hotel customer, and need to know what verified non-loan funding could shape the first project. Please separate business funding from customer rebates.","The first project would be in Calgary and the company would sell installation services, not manufacture equipment.","AB;clean-tech;aspiration;rebate-vs-business"
"penny-eval-019","MB","opportunity_backed","operating small","construction","training","strong_pool","no","no","We are a Winnipeg concrete contractor with 16 employees and a backlog of municipal sidewalk work. We want to train four workers on accessibility curb standards and buy $95,000 of finishing equipment this spring. What verified non-loan supports fit training or equipment, and what is likely ruled out?","","MB;construction;training;equipment;ruled-out"
"penny-eval-020","SK","aspiration_first","idea","agriculture","business shape","strong_pool","no","no","I want to start a Regina-based agtech service that uses drone imagery to help farms reduce fertilizer use. I have a software background, no farm assets, and want to pilot with three growers next summer. What verified non-loan programs could shape the business model and first pilot?","I would incorporate in Saskatchewan and sell a service subscription to farms.","SK;agtech;aspiration;R&D;pilot"
"penny-eval-021","NS","opportunity_backed","growth","export","export market","strong_pool","no","no","Our Dartmouth ocean-tech company has 22 employees and sells sensor housings to Canadian researchers. We want to attend two European trade shows, certify for EU marine buyers, and spend $160,000 on market entry this year. Which verified non-loan export programs fit, and what conditions should we watch?","","NS;export;ocean-tech;market-entry"
"penny-eval-022","NB","aspiration_first","planning","food processing","new facility","strong_pool","no","no","I want to build a small freeze-dried wild blueberry snack company near Bathurst, New Brunswick. I have supplier relationships, no facility yet, and expect $250,000 in dryer and packaging equipment. What verified non-loan funding should shape whether I lease, buy equipment, or wait?","I plan to incorporate in New Brunswick and sell to Atlantic grocery stores first.","NB;food-processing;aspiration;capex;lever"
"penny-eval-023","PE","opportunity_backed","operating small","agriculture","equipment purchase","strong_pool","no","no","We run a 5-person potato farm near Kensington, PEI and want to add soil moisture sensors and variable-rate irrigation controls before next season. The spend is about $110,000 and the goal is reduced water use. Which verified non-loan programs are strong or conditional for this farm technology project?","","PE;agriculture;clean-tech;equipment"
"penny-eval-024","NL","aspiration_first","idea","film","business shape","weak_pool","yes","no","I want to start a St. John's documentary production company focused on fisheries and coastal communities. I am a solo producer, have one broadcaster conversation, and need to understand verified non-loan funding that would shape the first project. Please distinguish company support from project tax credits.","I would incorporate in Newfoundland and Labrador before production starts.","NL;film;aspiration;weak-corpus"
"penny-eval-025","NT","aspiration_first","planning","construction","new location","weak_pool","yes","no","I want to start a small modular cabin construction business in Hay River using local labour and northern supply chains. I have carpentry experience, no employees yet, and a first customer interested in a tourist cabin by next summer. What verified non-loan funding or levers could make this viable?","I can hire apprentices if that changes eligibility, but I need to know why it matters.","NT;construction;aspiration;weak-corpus;lever"
"penny-eval-026","NU","opportunity_backed","operating small","retail","expansion","weak_pool","yes","no","We operate a small grocery and household goods store in Iqaluit with 13 employees. We want to add a commercial freezer, reduce spoilage, and train two supervisors, with about $140,000 in spending before sealift. Which verified non-loan programs fit this Nunavut business situation?","","NU;retail;northern;equipment;weak-corpus"
"penny-eval-027","YT","aspiration_first","idea","clean tech","business shape","weak_pool","yes","no","I want to create a Whitehorse business that installs solar and battery systems for remote lodges. I have electrical contracting experience, no incorporated company, and one lodge owner willing to be a pilot customer. What verified non-loan programs or conditions should shape the first year?","The company would be based in Yukon and the first installation would be for a private lodge.","YT;clean-tech;aspiration;weak-corpus"
"penny-eval-028","federal","opportunity_backed","mid","indigenous-led","expansion","strong_pool","no","no","We are a majority Indigenous-owned construction services company operating in Ontario and Manitoba with 31 employees. We want to open a training yard, hire six apprentices, and buy $300,000 of safety equipment in 2026. What verified federal or regional non-loan programs fit, and what ownership or training proof matters?","","federal-heavy;Indigenous-led;construction;hiring;equipment"
"penny-eval-029","ON","opportunity_backed","pre-revenue","healthcare","research and development","strong_pool","no","no","We are a Toronto medtech startup with two founders and a hospital advisor building a prototype remote patient monitoring device. We have no sales, expect $220,000 in prototype and validation work, and may hire one embedded engineer. Which verified non-loan programs fit now versus only after incorporation or clinical partners?","We are incorporated federally and based in Ontario, but the hospital has not signed a paid contract yet.","ON;healthcare;pre-revenue;R&D;conditional"
"penny-eval-030","QC","aspiration_first","idea","export","business shape","strong_pool","no","no","I want to start a Quebec-based food brand selling shelf-stable maple snack products into the northeastern United States. I have recipes, no commercial kitchen yet, and want to know what verified non-loan funding should shape product development and export planning. Avoid generic federal export lists unless the facts support them.","","QC;export;food;aspiration;famous-program-check"
"penny-eval-031","BC","opportunity_backed","growth","film","stack ask","strong_pool","no","no","Our Burnaby visual effects studio has 52 employees and is bidding on a large virtual production contract. We may hire 12 artists, lease motion-capture equipment, and subcontract some work in Alberta. What verified non-loan programs are strong, conditional, or ruled out because of geography?","","BC;film;hiring;stack;wrong-geo-stress"
"penny-eval-032","AB","opportunity_backed","operating small","agriculture","processing","strong_pool","no","no","We run a 10-person honey producer near Lethbridge and want to add bottling automation plus a food safety audit. The spend is around $130,000, and we sell through Alberta farmers markets and two grocery chains. Which verified non-loan programs fit this processing and market expansion plan?","","AB;agriculture;food-processing;equipment"
"penny-eval-033","MB","aspiration_first","idea","healthcare","business shape","weak_pool","yes","no","I want to launch a Winnipeg mobile physiotherapy service for seniors in rural Manitoba. I am a licensed physiotherapist, no company yet, and I might hire one assistant within a year. Are there verified non-loan business programs, or should Penny be honest that the pool is thin?","I would be a for-profit company, not a charity or public clinic.","MB;healthcare;aspiration;weak-corpus;thin-pool"
"penny-eval-034","SK","opportunity_backed","mid","mining services","hiring","weak_pool","yes","no","Our Saskatoon industrial services company has 26 employees and maintains pumps for potash mines. We need to hire three apprentices, train them on safety certifications, and buy $85,000 of diagnostic equipment. What verified non-loan funding fits this mining-services plan?","","SK;mining-services;hiring;training;weak-corpus"
"penny-eval-035","NS","aspiration_first","idea","retail","new location","weak_pool","yes","no","I want to open a small used outdoor gear shop in Cape Breton with repair workshops and seasonal student jobs. I have $45,000 saved, no lease yet, and want to know if verified non-loan funding should change the concept. Please tell me if this is mostly not grant-friendly.","","NS;retail;aspiration;weak-corpus;honesty"
"penny-eval-036","NB","opportunity_backed","operating small","clean tech","equipment purchase","strong_pool","no","no","We are a Saint John company with 12 employees that installs energy monitoring systems in small factories. We want to buy calibration equipment, hire one controls technician, and run a $75,000 demonstration with a sawmill. Which verified non-loan programs fit this plan?","","NB;clean-tech;equipment;hiring;demo"
"penny-eval-037","PE","opportunity_backed","pre-revenue","saas","research and development","weak_pool","yes","no","We are two founders in Charlottetown building software for seafood traceability and have letters of interest from three processors. We are pre-revenue and need $95,000 for development, cybersecurity review, and a part-time developer. What verified non-loan programs fit, and where is SR&ED or IRAP only conditional?","","PE;saas;pre-revenue;R&D;famous-program-check;weak-corpus"
"penny-eval-038","NL","opportunity_backed","growth","clean tech","equipment purchase","strong_pool","no","no","Our St. John's marine services company has 18 employees and wants to retrofit two workboats with fuel-monitoring and emissions reduction equipment. The project costs about $260,000 and supports offshore wind survey contracts. Which verified non-loan programs fit this specific clean marine project?","","NL;clean-tech;marine;equipment"
"penny-eval-039","ON","opportunity_backed","operating small","construction","negative ask","edge","no","yes","I run a sole proprietorship handyman business in Ottawa and need a $40,000 government loan to buy a truck for general home repairs. I do not want grants or tax credits, just the cheapest repayable financing. Can Penny find the best government loan for me?","","ON;construction;negative;loan-ask"
"penny-eval-040","QC","opportunity_backed","idea","individual-only","negative ask","edge","no","yes","I am an individual student in Quebec City and want funding to pay my personal rent while I learn video editing. I do not have a business, clients, employees, or a project budget. Can Penny recommend Canadian business grants anyway?","","QC;individual-only;negative;scope"
"penny-eval-041","BC","opportunity_backed","operating small","retail","wrong jurisdiction","edge","no","yes","We operate a coffee roaster in Victoria with 5 employees and want to apply for an Ontario small business grant I saw online. Our equipment and staff are all in British Columbia, and we are not opening in Ontario. Can Penny still treat the Ontario program as a strong fit?","","BC;retail;negative;wrong-geo"
"penny-eval-042","AB","opportunity_backed","operating small","healthcare","ambiguous intake","edge","no","yes","I have a healthcare idea in Alberta and want free government money fast. I have not decided whether this is a clinic, software product, or training service, and I have no timeline or budget. What can I get?","The business would be a for-profit telehealth software company based in Edmonton, with two founders and no revenue yet.","AB;healthcare;negative;under-questioning"
"penny-eval-043","federal","opportunity_backed","growth","export","loan redirect","edge","no","yes","We are a Canadian furniture exporter with 20 employees selling into the United States, and our bank declined a working-capital line. We want only non-repayable funding, but most programs we found look like loans or insurance. Can Penny screen verified federal options and reject repayable products clearly?","","federal-heavy;export;negative;loan-screen"
"penny-eval-044","ON","aspiration_first","planning","indigenous-led","business shape","strong_pool","no","no","I am a First Nations entrepreneur near Thunder Bay planning a small forestry services company with brush clearing, trail work, and two seasonal youth jobs. I have equipment quotes around $70,000 and want to incorporate this year. What verified non-loan funding should shape the first operating plan?","The business would be majority Indigenous-owned and located in Northern Ontario.","ON;Indigenous-led;aspiration;forestry;equipment"
"penny-eval-045","QC","opportunity_backed","operating small","childcare","hiring","weak_pool","yes","no","We run a private daycare in Laval with 11 staff and want to add infant spaces plus hire three educators before September. We can spend $60,000 on renovations and training. Which verified non-loan business programs fit, and which childcare supports are not for our business?","","QC;childcare;hiring;renovation;weak-corpus"
"penny-eval-046","BC","opportunity_backed","operating small","food processing","equipment purchase","strong_pool","no","no","Our Kelowna company makes non-alcoholic canned cider with 8 employees and sells through BC retailers. We want to buy a $210,000 canning line and develop export packaging for Washington state. What verified non-loan programs fit equipment, food processing, or export work?","","BC;food-processing;equipment;export"
"penny-eval-047","AB","aspiration_first","idea","mining services","business shape","weak_pool","yes","no","I want to start a Fort McMurray drone inspection business serving mine sites and heavy equipment yards. I have a commercial drone certificate, no incorporated company, and one potential client who needs thermal inspections next summer. What verified non-loan funding or first-year choices could make this fundable?","","AB;mining-services;aspiration;weak-corpus"
"penny-eval-048","MB","opportunity_backed","growth","manufacturing","hiring","strong_pool","no","no","We are a Brandon manufacturer with 44 employees making HVAC components for prairie contractors. We plan to add a second shift, hire eight production workers, and spend $500,000 on presses by Q2. Which verified non-loan programs fit hiring, training, or capital investment?","","MB;manufacturing;hiring;capex"
"penny-eval-049","SK","aspiration_first","planning","clean tech","stack ask","strong_pool","no","no","I want to build a Saskatchewan company that turns agricultural residue into biochar for farms and greenhouse customers. I have a pilot site near Yorkton, two growers interested, and need about $300,000 for testing and equipment. What verified non-loan programs fit, and what changes would unlock stronger eligibility?","I would incorporate in Saskatchewan and can partner with a university if that changes the funding path.","SK;clean-tech;aspiration;R&D;lever"
"penny-eval-050","federal","opportunity_backed","mid","r&d-heavy","stack ask","strong_pool","no","no","We are a Canadian cybersecurity company with offices in Ottawa and Calgary and 37 employees. We are building a new AI threat-detection module, hiring four researchers, and spending $1.2 million on experiments and cloud testing this fiscal year. Which verified federal non-loan programs are strong fits, conditional fits, or risky generic defaults?","","federal-heavy;cybersecurity;R&D;hiring;famous-program-check"
