case_id,jurisdiction,mode,stage,industry,ask_type,corpus_expectation,weak_corpus_stress,tags,fixed_prompt
fe-011,YT,opportunity_backed,operating_small,tourism,winter_expansion,weak_pool,yes,YT;tourism;winter,"We run a tiny Whitehorse aurora photo-tour business and want to add winter accessibility gear plus paid training for two guides. Revenue last year was $140K. What non-loan funding should we verify?"
fe-012,NT,opportunity_backed,growth,construction,capex,weak_pool,yes,NWT;construction;housing,"Our Yellowknife construction company has 17 employees and wants to build modular wall panels for northern housing projects. First equipment quote is $310K. Are there grants or credits that fit, or is this mostly loans?"
fe-013,NU,aspiration_first,idea,arts_manufacturing,business_shape,likely_miss,yes,NU;arts;manufacturing;aspiration,"I am in Rankin Inlet and want to turn sewing parkas and mitts into a small incorporated workshop with two aunties helping. I have no sales system yet. What non-loan funding path would be realistic?"
fe-014,Federal,opportunity_backed,growth,cleantech,export,strong_pool,no,Federal;cleantech;export,"We are an Ontario clean-tech hardware company selling water sensors and opening a Vancouver sales office for Asia-Pacific customers. We have 38 staff and $4M revenue. What federal non-loan programs fit export and product certification?"
fe-015,ON,opportunity_backed,operating_small,healthcare,hiring,strong_pool,no,ON;healthcare;hiring,"My physiotherapy clinic in Windsor has 5 employees and wants to hire a recent grad plus buy $35K in rehab equipment. We are not doing research. What should I pursue without wasting time?"
fe-016,QC,aspiration_first,pre_revenue,gaming,prototype,strong_pool,no,QC;gaming;digital-media,"I am a solo game designer in Quebec City with a playable French-language educational game prototype. No company yet, but a school board is interested. What non-loan funding should shape incorporation and first hire?"
fe-017,BC,opportunity_backed,mid,forestry,clean_equipment,strong_pool,no,BC;forestry;clean-equipment,"We run a 31-person sawmill services company in Quesnel and want to replace two diesel forklifts with electric ones plus chargers. Total quote is $210K. What verified non-loan supports are worth chasing?"
fe-018,AB,aspiration_first,idea,food_processing,new_location,strong_pool,no,AB;food;aspiration,"I want to start a small halal frozen-meal manufacturer in Edmonton. I have recipes, $60K saved, and a grocery buyer willing to sample, but no facility. What business shape unlocks non-loan help?"
fe-019,MB,opportunity_backed,operating_small,indigenous_led,tourism,weak_pool,yes,MB;Indigenous;tourism,"We are a majority Indigenous-owned tour company near The Pas and want to add cultural day trips for school groups. Budget is $45K for a booking site, guide training, and interpretive materials. What is actually open?"
fe-020,SK,opportunity_backed,operating_small,retail,ecommerce,strong_pool,no,SK;retail;ecommerce,"I own a Regina specialty running store with 6 employees and want to build an online fitting tool plus hire a part-time digital marketer. We are profitable but small. Any non-loan funding, or should I self-fund?"
fe-021,NS,opportunity_backed,mid,ocean_tech,rd,strong_pool,no,NS;ocean-tech;R&D,"We are a 19-person Halifax ocean-tech company developing a battery-powered sensor buoy. We need $260K for testing in rough water and firmware work. Which verified programs fit R&D versus commercialization?"
fe-022,NB,aspiration_first,idea,childcare,rural_service,weak_pool,yes,NB;childcare;rural;aspiration,"I live near Miramichi and want to open a licensed after-school care program because parents keep asking. I have education experience but no incorporated business. What funding would shape the setup?"
fe-023,PE,opportunity_backed,pre_revenue,biotech,rd,strong_pool,no,PEI;biotech;R&D,"We are a UPEI spinout trying to commercialize a diagnostic test for shellfish disease. Two founders, no revenue, lab access secured. I need non-loan options for validation studies and first technical hire."
fe-024,NL,opportunity_backed,operating_small,tourism,renovation,weak_pool,yes,NL;tourism;renovation,"My family owns a 9-room inn in Twillingate and wants to renovate two rooms for accessible stays before next summer. We also want a new booking engine. Please verify what is open and non-repayable."
fe-025,YT,aspiration_first,pre_revenue,film,project_funding,weak_pool,yes,YT;film;aspiration,"I am a Yukon filmmaker with a short documentary idea about remote trades training. I have a producer mentor but no company. What non-loan funding should I line up before filming?"
fe-026,NT,opportunity_backed,operating_small,retail,energy_upgrade,weak_pool,yes,NWT;retail;energy,"We run a small grocery store in Hay River and our refrigeration power bill is brutal. The contractor quoted $88K for new cases and controls. What grants or rebates could apply?"
fe-027,NU,opportunity_backed,operating_small,logistics,equipment,likely_miss,yes,NU;logistics;equipment,"Our Iqaluit freight startup has 4 employees and wants to buy a used electric cargo van plus charging setup for local deliveries. The quote is about $70K landed. Is there any non-loan support that is not fantasy?"
fe-028,Federal,aspiration_first,idea,export_consulting,business_shape,strong_pool,no,Federal;export;aspiration,"I am thinking of starting a Canadian market-entry consultancy for Latin American food brands. I speak Spanish and have contacts, but no company yet. Are there non-loan programs that should shape the business, or is this too service-based?"
fe-029,ON,opportunity_backed,mid,automotive,training,strong_pool,no,ON;automotive;training,"We are a 46-person auto-parts supplier in London, Ontario moving into EV battery tray components. Need $140K in CNC training and quality certification. Which programs are strong versus conditional?"
fe-030,QC,opportunity_backed,growth,aerospace,capex,strong_pool,no,QC;aerospace;capex,"Our Longueuil aerospace machine shop has 34 employees and a signed PO if we add a 5-axis machine by March. Quote is $620K. I need non-loan help, especially if hiring apprentices changes the answer."
fe-031,BC,opportunity_backed,operating_small,indigenous_led,food_tourism,weak_pool,yes,BC;Indigenous;food-tourism,"We are an Indigenous-owned food truck in Campbell River planning a small commercial kitchen and cultural tasting events. Budget is $110K and we already cater local events. What should we pursue first?"
fe-032,AB,opportunity_backed,operating_small,construction,software,strong_pool,no,AB;construction;software,"I run a Calgary construction firm with 14 staff and want to build internal scheduling software with a local developer. It might become a product later, but right now it is internal. Is any grant realistic?"
fe-033,MB,aspiration_first,idea,healthtech,prototype,strong_pool,no,MB;healthtech;aspiration,"I am a nurse in Winnipeg with an idea for a medication adherence app for home-care agencies. I can get three pilot users but have no dev team. What non-loan funding path would a consultant recommend?"
fe-034,SK,opportunity_backed,mid,clean_energy,capex,strong_pool,no,SK;clean-energy;capex,"Our Saskatoon company installs solar on farms and wants to add battery design services. We need training, engineering software, and maybe a demo battery trailer. What non-loan programs fit?"
fe-035,NS,aspiration_first,idea,retail_circular,furniture,weak_pool,yes,NS;circular-economy;retail,"I want to open a used-office-furniture refurbishing shop in Dartmouth. I have a warehouse lead and $25K saved, no revenue yet. What grants would shape this, if any?"
fe-036,NB,opportunity_backed,operating_small,manufacturing,productivity,strong_pool,no,NB;manufacturing;productivity,"We make custom staircases in Moncton with 11 employees. A $75K dust collection and CNC upgrade would let us take bigger jobs and hire one finisher. Which funding is not a loan?"
fe-037,PE,aspiration_first,idea,tourism_accessibility,business_shape,weak_pool,yes,PEI;tourism;accessibility,"I am looking at starting accessible beach rental equipment in Cavendish next summer. I have disability-sector contacts but no business yet. What verified non-loan funding would shape the plan?"
fe-038,NL,opportunity_backed,mid,marine_services,training,strong_pool,no,NL;marine;training,"We are a 28-person marine repair company in Mount Pearl and want to certify six technicians for hybrid vessel systems. Training quote is $54K. Are there wage or training grants that fit?"
fe-039,YT,opportunity_backed,operating_small,food_agriculture,greenhouse,weak_pool,yes,YT;agriculture;greenhouse,"We run a small market garden outside Dawson City and want a year-round greenhouse with heat controls. Budget is $160K. What non-loan programs or tax credits are worth verifying?"
fe-040,NT,aspiration_first,idea,creative_services,studio,likely_miss,yes,NWT;creative;aspiration,"I want to start a small animation and podcast studio in Yellowknife for northern businesses. I have freelance clients but no corporation. What funding shape makes sense without making things up?"
fe-041,NU,opportunity_backed,operating_small,tourism,training,likely_miss,yes,NU;tourism;training,"We operate summer boat tours in Pond Inlet and want to train two local guides plus improve our online booking. We are incorporated and revenue is under $100K. What verified non-loan funding exists?"
fe-042,Federal,opportunity_backed,mid,ai_saas,rd,strong_pool,no,Federal;AI;R&D,"We are a 22-person Canadian AI SaaS company building a privacy-preserving analytics feature for banks. Customers are asking for it but there is real technical uncertainty. What federal programs fit without defaulting to everything?"
fe-043,ON,aspiration_first,idea,construction_trades,training_business,strong_pool,no,ON;trades;aspiration,"I am a licensed electrician in Thunder Bay and want to start a small training shop for EV charger installers. No company yet, but two employers said they need workers. What non-loan funding path should I design around?"
fe-044,QC,opportunity_backed,operating_small,arts_fashion,equipment,strong_pool,no,QC;fashion;equipment,"We run a 5-person sustainable clothing studio in Montreal and need $42K for cutting equipment and e-commerce photography. We sell mostly in Quebec but want Ontario customers. What fits?"
fe-045,BC,opportunity_backed,pre_revenue,medical_device,clinical,strong_pool,no,BC;medical-device;clinical,"We are two founders in Vancouver developing a low-cost rehab sensor. Prototype works, no Health Canada submission yet, and a clinic will trial it. What non-loan funding fits validation?"
fe-046,AB,negative_edge,idea,personal_training,individual_request,strong_pool,no,AB;negative;individual,"I am not starting a business yet, but I want government grant money to pay for my personal drone pilot training in Alberta. If I maybe freelance later, can Penny find something non-loan?"
fe-047,MB,negative_edge,operating_small,restaurant,loan_redirect,strong_pool,no,MB;negative;loan,"We own a Winnipeg restaurant and mainly need a $90K cash injection because winter was slow. I know you focus on non-loan money, but include loans too if that is all there is."
fe-048,SK,opportunity_backed,operating_small,indigenous_led,construction,strong_pool,no,SK;Indigenous;construction,"Our majority Indigenous-owned construction company near Prince Albert has 9 employees and wants to buy estimating software and train two supervisors. What verified non-loan options fit us specifically?"
fe-049,NS,opportunity_backed,growth,export_food,trade_show,strong_pool,no,NS;export;food,"We make shelf-stable sauces in Cape Breton and have a distributor meeting in Boston in September. Revenue is $900K and we need trade show, label compliance, and samples funding. What is strong versus stretch?"
fe-050,ON,negative_edge,growth,real_estate,wrong_scope,strong_pool,no,ON;negative;real-estate,"I have a numbered Ontario corporation that buys rental duplexes and I want grants for my next down payment. I do not want tax advice or loans. Is there anything real for this?"
